price,time
"$59,818.42",Thu Nov 18 11:13:43 2021
"$59,920.43",Thu Nov 18 11:23:43 2021
"$59,870.20",Thu Nov 18 11:33:44 2021
"$59,761.56",Thu Nov 18 11:43:45 2021
"$59,992.47",Thu Nov 18 11:53:46 2021
"$59,900.45",Thu Nov 18 12:03:47 2021
"$59,782.12",Thu Nov 18 12:13:48 2021
"$59,826.82",Thu Nov 18 12:23:49 2021
"$59,690.47",Thu Nov 18 12:33:49 2021
"$59,742.61",Thu Nov 18 12:43:50 2021
"$59,648.81",Thu Nov 18 13:13:08 2021
"$59,832.32",Thu Nov 18 13:23:09 2021
"$59,779.20",Thu Nov 18 13:33:09 2021
"$59,644.68",Thu Nov 18 13:43:10 2021
"$59,720.35",Thu Nov 18 13:53:11 2021
"$59,828.87",Thu Nov 18 14:03:12 2021
"$59,623.76",Thu Nov 18 14:13:12 2021
"$59,547.32",Thu Nov 18 14:23:13 2021
"$59,591.91",Thu Nov 18 14:33:15 2021
"$59,397.84",Thu Nov 18 14:43:15 2021
"$59,417.85",Thu Nov 18 14:53:16 2021
"$59,304.85",Thu Nov 18 15:03:17 2021
"$59,068.60",Thu Nov 18 15:13:18 2021
"$59,165.88",Thu Nov 18 15:23:19 2021
"$59,307.12",Thu Nov 18 15:33:20 2021
"$59,354.57",Thu Nov 18 15:43:21 2021
"$59,192.97",Thu Nov 18 15:53:21 2021
"$59,447.51",Thu Nov 18 16:03:25 2021
"$59,644.34",Thu Nov 18 16:13:29 2021
"$59,679.03",Thu Nov 18 16:23:32 2021
"$59,617.62",Thu Nov 18 16:33:39 2021
"$59,913.56",Thu Nov 18 16:43:39 2021
"$59,797.99",Thu Nov 18 16:53:40 2021
"$59,748.00",Thu Nov 18 17:03:41 2021
"$59,721.52",Thu Nov 18 17:13:42 2021
"$59,522.42",Thu Nov 18 17:23:43 2021
"$59,489.97",Thu Nov 18 17:33:44 2021
"$59,212.55",Thu Nov 18 17:43:45 2021
"$59,493.78",Thu Nov 18 17:53:46 2021
"$58,980.86",Thu Nov 18 20:19:30 2021
"$58,870.83",Thu Nov 18 20:29:31 2021
"$59,084.47",Thu Nov 18 20:39:33 2021
"$58,718.47",Thu Nov 18 20:49:34 2021
"$58,586.35",Thu Nov 18 20:59:42 2021
"$58,991.18",Thu Nov 18 21:09:43 2021
"$58,888.11",Thu Nov 18 21:19:43 2021
"$58,360.12",Thu Nov 18 21:29:44 2021
"$58,072.12",Thu Nov 18 21:39:45 2021
"$58,367.55",Thu Nov 18 21:49:54 2021
"$57,834.52",Thu Nov 18 21:59:55 2021
"$57,551.72",Thu Nov 18 22:09:56 2021
"$57,592.65",Thu Nov 18 22:19:56 2021
"$57,751.01",Thu Nov 18 22:29:57 2021
"$57,343.09",Thu Nov 18 22:39:58 2021
"$57,063.17",Thu Nov 18 22:50:01 2021
"$57,712.75",Thu Nov 18 23:00:02 2021
"$58,070.41",Thu Nov 18 23:10:03 2021
"$57,969.74",Thu Nov 18 23:20:04 2021
"$57,794.92",Thu Nov 18 23:30:05 2021
"$57,706.44",Thu Nov 18 23:40:06 2021
"$55,943.35",Fri Nov 19 09:37:31 2021
"$55,935.32",Fri Nov 19 09:47:32 2021
"$56,160.80",Fri Nov 19 09:57:33 2021
"$56,134.22",Fri Nov 19 10:07:34 2021
"$56,273.14",Fri Nov 19 10:17:35 2021
"$56,118.55",Fri Nov 19 10:27:36 2021
"$56,340.19",Fri Nov 19 10:37:37 2021
"$56,398.81",Fri Nov 19 10:47:38 2021
"$56,174.44",Fri Nov 19 10:57:39 2021
"$56,353.19",Fri Nov 19 11:07:40 2021
"$56,473.54",Fri Nov 19 11:17:41 2021
"$56,378.11",Fri Nov 19 11:27:42 2021
"$56,362.73",Fri Nov 19 11:37:43 2021
"$56,448.05",Fri Nov 19 11:55:23 2021
"$56,370.16",Fri Nov 19 12:06:24 2021
"$56,452.26",Fri Nov 19 12:16:25 2021
"$56,168.28",Fri Nov 19 12:46:17 2021
"$56,132.24",Fri Nov 19 12:56:19 2021
"$56,033.07",Fri Nov 19 13:06:20 2021
"$55,978.48",Fri Nov 19 13:16:21 2021
"$55,885.06",Fri Nov 19 13:26:22 2021
"$56,036.91",Fri Nov 19 13:36:23 2021
"$56,262.95",Fri Nov 19 13:46:24 2021
"$56,968.53",Fri Nov 19 13:56:25 2021
"$57,306.48",Fri Nov 19 14:06:50 2021
"$57,309.43",Fri Nov 19 14:16:51 2021
"$57,182.14",Fri Nov 19 14:26:53 2021
"$57,025.55",Fri Nov 19 14:36:53 2021
"$57,074.69",Fri Nov 19 14:46:55 2021
"$57,431.94",Fri Nov 19 14:56:56 2021
"$57,142.25",Fri Nov 19 15:06:57 2021
"$57,220.77",Fri Nov 19 15:16:58 2021
"$57,237.82",Fri Nov 19 15:26:59 2021
