price,time
"$4,256.36",Tue Nov 16 15:34:03 2021
"$4,256.36",Tue Nov 16 15:35:37 2021
"$4,235.44",Tue Nov 16 15:38:24 2021
"$4,221.75",Tue Nov 16 15:41:29 2021
"$4,250.36",Tue Nov 16 16:31:53 2021
"$4,285.97",Tue Nov 16 17:28:45 2021
"$4,277.24",Tue Nov 16 17:38:45 2021
"$4,293.98",Tue Nov 16 17:48:46 2021
"$4,287.02",Tue Nov 16 17:58:47 2021
"$4,276.34",Tue Nov 16 18:10:43 2021
"$4,267.30",Tue Nov 16 18:20:44 2021
"$4,248.93",Tue Nov 16 18:30:45 2021
"$4,244.83",Tue Nov 16 18:40:49 2021
"$4,232.50",Tue Nov 16 18:50:49 2021
"$4,340.91",Tue Nov 16 20:22:57 2021
"$4,329.06",Tue Nov 16 20:32:58 2021
"$4,318.03",Tue Nov 16 20:42:59 2021
"$4,311.62",Tue Nov 16 20:53:00 2021
"$4,306.21",Tue Nov 16 21:03:00 2021
"$4,291.94",Tue Nov 16 21:24:09 2021
"$4,291.76",Tue Nov 16 21:34:10 2021
"$4,298.55",Tue Nov 16 21:44:13 2021
"$4,317.07",Tue Nov 16 21:54:14 2021
"$4,304.85",Tue Nov 16 22:04:15 2021
"$4,305.42",Tue Nov 16 22:14:15 2021
"$4,321.26",Tue Nov 16 22:24:16 2021
"$4,325.27",Tue Nov 16 22:34:17 2021
"$4,325.35",Tue Nov 16 22:44:18 2021
"$4,118.16",Wed Nov 17 08:47:26 2021
"$4,108.29",Wed Nov 17 08:57:26 2021
"$4,165.48",Wed Nov 17 09:07:28 2021
"$4,163.81",Wed Nov 17 09:17:29 2021
"$4,167.27",Wed Nov 17 09:27:30 2021
"$4,149.76",Wed Nov 17 09:37:31 2021
"$4,150.05",Wed Nov 17 09:48:14 2021
"$4,150.76",Wed Nov 17 09:58:14 2021
"$4,226.05",Wed Nov 17 11:33:59 2021
"$4,176.23",Wed Nov 17 11:44:00 2021
